id	en	zh	category	categoryZh	wordCount	frequency
ecs_0001	Excuse me.	打扰一下。	request	请求句	2	374450
ecs_0002	Oh, my God.	哦，我的天。	emotion	情绪反应句	3	366536
ecs_0003	Yes, sir.	是的，先生。	response	回应句	2	305004
ecs_0004	What is it?	这是什么？	question	疑问句	3	245166
ecs_0005	Oh, yeah.	哦，对。	response	回应句	2	224975
ecs_0006	No, no.	不，不。	response	回应句	2	212202
ecs_0007	What happened?	发生什么事了？	question	疑问句	2	205502
ecs_0008	Oh, no.	哦，不。	emotion	情绪反应句	2	204461
ecs_0009	That's it.	就是这样。	response	回应句	2	197848
ecs_0010	Come here.	过来。	request	请求句	2	185672
ecs_0011	It's okay.	没关系。	response	回应句	2	184416
ecs_0012	All right?	可以吗？	question	疑问句	2	172441
ecs_0013	You know what?	你知道吗？	question	疑问句	3	158031
ecs_0014	No, no, no.	不，不，不。	response	回应句	3	157952
ecs_0015	Wait a minute.	等一下。	request	请求句	3	122334
ecs_0016	Good night.	晚安。	greeting	寒暄句	2	122136
ecs_0017	What's wrong?	怎么了？	question	疑问句	2	119334
ecs_0018	Hold on.	等一下。	request	请求句	2	114973
ecs_0019	I see.	我明白了。	response	回应句	2	114754
ecs_0020	Are you okay?	你还好吗？	question	疑问句	3	105761
ecs_0021	You're right.	你说得对。	response	回应句	2	103993
ecs_0022	Go ahead.	请继续。	request	请求句	2	102567
ecs_0023	Good morning.	早上好。	greeting	寒暄句	2	100734
ecs_0024	Got it.	明白了。	response	回应句	2	99076
ecs_0025	What do you think?	你觉得怎么样？	question	疑问句	4	96537
ecs_0026	Sit down.	坐下。	request	请求句	2	95213
ecs_0027	Here we go.	开始吧。	fixed	固定口语表达	3	93070
ecs_0028	You okay?	你还好吗？	question	疑问句	2	90114
ecs_0029	What's the matter?	怎么回事？	question	疑问句	3	88066
ecs_0030	It's all right.	没关系。	response	回应句	3	87825
ecs_0031	What is this?	这是什么？	question	疑问句	3	86682
